Year,Dom_Mn,For_Mn,Domestic_Base_Price,Foreign_Base_Price,Mausoleum_Addon,Avg_Winter_AQI,Domestic_Total,Foreign_Total,Review_Vol,BERT_Overall,rating,F_Freq,LP_Freq,LN_Freq,F_ASAT,LP_ASAT,LN_ASAT,Friction_Density,Luster_Praise_Density,Luster_Concern_Density
2004,1.84,0.36,,,,,,,,,,,,,,,,,,
2005,1.88,0.59,,,,,,,,,,,,,,,,,,
2006,2.01,0.49,,,,,,,,,,,,,,,,,,
2007,2.62,0.58,,,,,,,,,,,,,,,,,,
2008,2.63,0.59,,,,,,,,,,,,,,,,,,
2009,2.58,0.49,,,,,,,,,,,,,,,,,,
2010,4.08,0.62,,,,,,,,,,,,,,,,,,
2011,4.64,0.66,,,,,,,,,,,,,,,,,,
2012,5.28,0.74,,,,,,,,,,,,,,,,,,
2013,5.13,0.69,,,,,,,,,,,,,,,,,,
2014,5.42,0.64,,,,,,,,,,,,,,,,,,
2015,4.14,0.48,20.0,750.0,0.0,180.0,20.0,750.0,,,,,,,,,,,,
2016,4.09,0.39,40.0,1000.0,0.0,210.0,40.0,1000.0,,,,,,,,,,,,
2017,5.66,0.79,40.0,1000.0,0.0,240.0,40.0,1000.0,,,,,,,,,,,,
2018,5.98,0.89,50.0,1100.0,200.0,280.0,250.0,1300.0,,,,,,,,,,,,
2019,4.42,0.64,50.0,1100.0,200.0,260.0,250.0,1300.0,,,,,,,,,,,,
2020,1.25,0.009,50.0,1100.0,200.0,140.0,250.0,1300.0,,,,,,,,,,,,
2021,2.43,0.03,50.0,1100.0,200.0,190.0,250.0,1300.0,69.0,4.318840579710145,4.565217391304348,78.0,48.0,2.0,3.2427083333333333,4.457575757575757,2.5,1.1304347826086956,0.6956521739130435,0.028985507246376812
2022,5.05,0.39,50.0,1100.0,200.0,230.0,250.0,1300.0,180.0,4.45,4.716666666666667,152.0,158.0,13.0,3.1408212560386475,4.573666666666667,3.2,0.8444444444444444,0.8777777777777778,0.07222222222222222
2023,6.1,0.68,50.0,1100.0,200.0,250.0,250.0,1300.0,223.0,4.3408071748878925,4.690582959641255,162.0,192.0,32.0,3.4601617440225034,4.650372023809524,3.119565217391304,0.726457399103139,0.8609865470852018,0.14349775784753363
2024,6.26,0.65,50.0,1100.0,200.0,330.0,250.0,1300.0,234.0,4.427350427350428,4.794871794871795,149.0,188.0,27.0,3.476222222222222,4.598130841121495,3.5869565217391304,0.6367521367521367,0.8034188034188035,0.11538461538461539
